DIA_TRANSPORTE,NOMBRE_EMPRESA,LINEA,AMBA,TIPO_TRANSPORTE,JURISDICCION,PROVINCIA,MUNICIPIO,CANTIDAD,DATO_PRELIMINAR,MES_NUMERO,MES_NOMBRE,DIA_SEMANA,TIPO_DIA,ESTACION
2025-01-10,UNION PLATENSE SRL,NORTE MUNICIPAL,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,8879,NO,1,Enero,Viernes,Día de semana,Verano
2025-01-11,UNION PLATENSE SRL,BSAS_LINEA_502_SUR,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,4043,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-11,MICROEXPRES S.A.,BSAS_LINEA_503_ESTE,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,3332,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-11,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_503E,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,14131,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-11,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_508C,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,314,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-11,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_518,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,372,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-11,UNION PLATENSE SRL,BSAS_LINEA_520C,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,5081,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-11,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_561B,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,390,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-11,EMPRESA NUEVE DE JULIO S.A.T.,LINEA OESTE,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,32213,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-11,FUERTE BARRAGAN S.A.T.I.C.I.,LINEA_506F_BSAS,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,4712,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-11,UNION PLATENSE SRL,NORTE MUNICIPAL,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,4256,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-12,UNION PLATENSE SRL,BSAS_LINEA_502_SUR,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,1338,NO,1,Enero,Domingo,Fin de semana,Verano
2025-01-12,MICROEXPRES S.A.,BSAS_LINEA_503_ESTE,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,1901,NO,1,Enero,Domingo,Fin de semana,Verano
2025-01-12,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_503E,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,10982,NO,1,Enero,Domingo,Fin de semana,Verano
2025-01-12,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_508C,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,258,NO,1,Enero,Domingo,Fin de semana,Verano
2025-01-12,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_518,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,86,NO,1,Enero,Domingo,Fin de semana,Verano
